code,name,description,category,url
RGNH,historical region,a former area distinguished by one or more observable physical or cultural characteristics,L,
ADM2H,historical second-order administrative division,a former second-order administrative division,A,
HSTS,historical site,a place of historical importance,S,
ADM3H,historical third-order administrative division,a former third-order administrative division,A,
UFHU,historical undersea feature,an undersea feature whose existence has been subsequently disproved,U,
HMSD,homestead,"a residence, owner's or manager's, on a sheep or cattle station, woolshed, outcamp, or Aboriginal outstation, specific to Australia and New Zealand",S,
HSP,hospital,"a building in which sick or injured, especially those confined to bed, are medically treated",S,
SPNT,hot spring(s),a place where hot ground water flows naturally out of the ground,H,
HTL,hotel,a building providing lodging and/or meals for the public,S,
HSE,house(s),a building used as a human habitation,S,
DEVH,housing development,a tract of land on which many houses of similar design are built according to a development plan,L,
RESH,hunting reserve,a tract of land used primarily for hunting,L,
HUT,hut,a small primitive house,S,
HUTS,huts,small primitive houses,S,
PSH,hydroelectric power station,a building where electricity is generated from water power,S,
CAPG,icecap,a dome-shaped mass of glacial ice covering an area of mountain summits or other high lands; smaller than an ice sheet,H,
DPRG,icecap depression,a comparatively depressed area on an icecap,H,
DOMG,icecap dome,a comparatively elevated area on an icecap,H,
RDGG,icecap ridge,a linear elevation on an icecap,H,
PCLI,independent political entity,independent political entity,A,
INDS,industrial area,an area characterized by industrial activity,L,
INLT,inlet,"a narrow waterway extending into the land, or connecting a bay or lagoon with a larger body of water",H,
STNI,inspection station,"a station at which vehicles, goods, and people are inspected",S,
TRGD,interdune trough(s),a long wind-swept trough between parallel longitudinal dunes,T,
INTF,interfluve,a relatively undissected upland between adjacent stream valleys,T,
LKI,intermittent lake,intermittent lake,H,
LKSI,intermittent lakes,intermittent lakes,H,
LKOI,intermittent oxbow lake,intermittent oxbow lake,H,
PNDI,intermittent pond,intermittent pond,H,
PNDSI,intermittent ponds,intermittent ponds,H,
POOLI,intermittent pool,intermittent pool,H,
RSVI,intermittent reservoir,intermittent reservoir,H,
LKNI,intermittent salt lake,intermittent salt lake,H,
LKSNI,intermittent salt lakes,intermittent salt lakes,H,
PNDNI,intermittent salt pond(s),intermittent salt pond(s),H,
STMI,intermittent stream,intermittent stream,H,
WTLDI,intermittent wetland,intermittent wetland,H,
RDIN,intersection,a junction of two or more highways by a system of separate levels that permit traffic to pass from one to another without the crossing of traffic streams,S,
MNFE,iron mine(s),a mine where iron ore is extracted,S,
FLDI,irrigated field(s),a tract of level or terraced land which is irrigated,L,
CNLI,irrigation canal,a canal which serves as a main conduit for irrigation water,H,
DTCHI,irrigation ditch,a ditch which serves to distribute irrigation water,H,
SYSI,irrigation system,"a network of ditches and one or more of the following elements: water supply, reservoir, canal, pump, well, drain, etc.",H,
ISL,island,"a tract of land, smaller than a continent, surrounded by water at high water",T,
ISLS,islands,"tracts of land, smaller than a continent, surrounded by water at high water",T,
STLMT,Israeli settlement,Israeli settlement,P,
ISTH,isthmus,a narrow strip of land connecting two larger land masses and bordered by water,T,
JTY,jetty,a structure built out into the water at a river mouth or harbor entrance to regulate currents and silting,S,
KRST,karst area,"a distinctive landscape developed on soluble rock such as limestone characterized by sinkholes, caves, disappearing streams, and underground drainage",T,
CMPLA,labor camp,a camp used by migrant or temporary laborers,S,
LGN,lagoon,"a shallow coastal waterbody, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature",H,
LGNS,lagoons,"shallow coastal waterbodies, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature",H,
LK,lake,a large inland body of standing water,H,
LBED,lake bed(s),a dried up or drained area of a former lake,H,
CHNL,lake channel(s),"that part of a lake having water deep enough for navigation between islands, shoals, etc.",H,
RGNL,lake region,a tract of land distinguished by numerous lakes,L,
LKS,lakes,large inland bodies of standing water,H,
ISLT,land-tied island,"a coastal island connected to the mainland by barrier beaches, levees or dikes",T,
LNDF,landfill,a place for trash and garbage disposal in which the waste is buried between layers of earth to build up low-lying land,S,
LDNG,landing,"a place where boats receive or discharge passengers and freight, but lacking most port facilities",S,
LAVA,lava area,an area of solidified lava,T,
MNPB,lead mine(s),a mine where lead ore is extracted,S,
LTER,leased area,a tract of land leased by the United Kingdom from the People's Republic of China to form part of Hong Kong,A,
LEPC,leper colony,a settled area inhabited by lepers in relative isolation,S,
HSPL,leprosarium,an asylum or hospital for lepers,S,
LEV,levee,a natural low embankment bordering a distributary or meandering stream; often built up artificially to control floods,T,
LTHSE,lighthouse,a distinctive structure exhibiting a major navigation light,S,
MFGLM,limekiln,a furnace in which limestone is reduced to lime,S,
GOVL,local government office,"a facility housing local governmental offices, usually a city, town, or village hall",S,
LCTY,locality,a minor area or place of unspecified or mixed character and indefinite boundaries,L,
LOCK,lock(s),a basin in a waterway with gates at each end by means of which vessels are passed from one water level to another,S,
CMPL,logging camp,a camp used by loggers,S,
STMSB,lost river,"a surface stream that disappears into an underground channel, or dries up in an arid area",H,
MVA,maneuver area,a tract of land where military field exercises are carried out,L,
ISLM,mangrove island,a mangrove swamp surrounded by a waterbody,T,
MGV,mangrove swamp,a tropical tidal mud flat characterized by mangrove vegetation,H,
MAR,marina,"a harbor facility for small boats, yachts, etc.",S,
CHNM,marine channel,that part of a body of water deep enough for navigation through an area otherwise not suitable,H,
SCHN,maritime school,a school at which maritime sciences form the core of the curriculum,S,
MKT,market,a place where goods are bought and sold at regular intervals,S,
MRSH,marsh(es),a wetland dominated by grass-like vegetation,H,
MDW,meadow,"a small, poorly drained area dominated by grassy vegetation",V,
NKM,meander neck,a narrow strip of land between the two limbs of a meander loop at its narrowest point,T,
CTRM,medical center,"a complex of health care buildings including two or more of the following: hospital, medical school, clinic, pharmacy, doctor's offices, etc.",S,
MESA,mesa(s),"a flat-topped, isolated elevation with steep slopes on all sides, less extensive than a plateau",T,
STNM,meteorological station,a station at which weather elements are recorded,S,
MILB,military base,"a place used by an army or other armed service for storing arms and supplies, and for accommodating and training troops, a base from which operations can be initiated",L,
INSM,military installation,a facility for use of and control by armed forces,S,
SCHM,military school,a school at which military science forms the core of the curriculum,S,
ML,mill(s),"a building housing machines for transforming, shaping, finishing, grinding, or extracting products",S,
MN,mine(s),a site where mineral ores are extracted from the ground by excavating surface pits and subterranean passages,S,
MNA,mining area,an area of mine sites where minerals and ores are extracted,L,
CMPMN,mining camp,a camp used by miners,S,
MSSN,mission,"a place characterized by dwellings, school, church, hospital and other facilities operated by a religious group for the purpose of providing charitable services and to propagate religion",S,
MOLE,mole,a massive structure of masonry or large stones serving as a pier or breakwater,S,
MSTY,monastery,a building and grounds where a community of monks lives in seclusion,S,
MNMT,monument,a commemorative structure or statue,S,
MOOR,moor(s),an area of open ground overlaid with wet peaty soils,H,
MRN,moraine,"a mound, ridge, or other accumulation of glacial till",T,
MSQE,mosque,a building for public Islamic worship,S,
MND,mound(s),"a low, isolated, rounded hill",T,
MT,mountain,"an elevation standing high above the surrounding area with small summit area, steep slopes and local relief of 300m or more",T,
MTS,mountains,a mountain range or a group of mountains or high ridges,T,
FLTM,mud flat(s),"a relatively level area of mud either between high and low tide lines, or subject to flooding",H,
MFGM,munitions plant,a factory where ammunition is made,S,
MUS,museum,a building where objects of permanent interest in one or more of the arts and sciences are preserved and exhibited,S,
NRWS,narrows,"a navigable narrow part of a bay, strait, river, etc.",H,
TNLN,natural tunnel,a cave that is open at both ends,R,
RESN,nature reserve,an area reserved for the maintenance of a natural habitat,L,
NVB,naval base,"an area used to store supplies, provide barracks for troops and naval personnel, a port for naval vessels, and from which operations are initiated",L,
CNLN,navigation canal(s),a watercourse constructed for navigation of vessels,H,
CHNN,navigation channel,a buoyed channel of sufficient depth for the safe navigation of vessels,H,
MNNI,nickel mine(s),a mine where nickel ore is extracted,S,
NOV,novitiate,a religious house or school where novices are trained,S,
PSN,nuclear power station,nuclear power station,S,
NTK,nunatak,a rock or mountain peak protruding through glacial ice,T,
NTKS,nunataks,rocks or mountain peaks protruding through glacial ice,T,
NSY,nursery(-ies),a place where plants are propagated for transplanting or grafting,S,
OAS,oasis(-es),an area in a desert made productive by the availability of water,L,
OBPT,observation point,a wildlife or scenic observation point,S,
OBS,observatory,a facility equipped for observation of atmospheric or space phenomena,S,
OCN,ocean,one of the major divisions of the vast expanse of salt water covering part of the earth,H,
BLDO,office building,commercial building where business and/or services are conducted,S,
CMPO,oil camp,a camp used by oilfield workers,S,
ESTO,oil palm plantation,an estate specializing in the cultivation of oil palm trees,S,
OILP,oil pipeline,a pipeline used for transporting oil,R,
OILJ,oil pipeline junction,a section of an oil pipeline where two or more pipes join together,S,
TRMO,oil pipeline terminal,a tank farm or loading facility at the end of an oil pipeline,S,
PMPO,oil pumping station,a facility for pumping oil through a pipeline,S,
OILR,oil refinery,a facility for converting crude oil into refined petroleum products,S,
OILW,oil well,a well from which oil may be pumped,S,
OILF,oilfield,an area containing a subterranean store of petroleum of economic value,L,
GRVO,olive grove,a planting of olive trees,V,
MLO,olive oil mill,a mill where oil is extracted from olives,S,
OCH,orchard(s),a planting of fruit or nut trees,V,
MLM,ore treatment plant,a facility for improving the metal content of ore by concentration,S,
OVF,overfalls,an area of breaking waves caused by the meeting of currents or by waves moving against the current,H,
LKO,oxbow lake,a crescent-shaped lake commonly found adjacent to meandering streams,H,
PGDA,pagoda,"a tower-like storied structure, usually a Buddhist shrine",S,
PAL,palace,"a large stately house, often a royal or presidential residence",S,
GRVP,palm grove,a planting of palm trees,V,
RESP,palm tree reserve,an area of palm trees where use is controlled,L,
PAN,pan,"a near-level shallow, natural depression or basin, usually containing an intermittent lake, pond, or pool",T,
PANS,pans,"a near-level shallow, natural depression or basin, usually containing an intermittent lake, pond, or pool",T,
PRSH,parish,an ecclesiastical district,A,
PRK,park,"an area, often of forested land, maintained as a place of beauty, or for recreation",L,
PRKGT,park gate,a controlled access to a park,S,
PRKHQ,park headquarters,a park administrative facility,S,
GARG,parking garage,a building or underground facility used exclusively for parking vehicles,S,
PKLT,parking lot,an area used for parking vehicles,S,
PASS,pass,"a break in a mountain range or other high obstruction, used for transportation from one side to the other [See also gap]",T,
PSTP,patrol post,a post from which patrols are sent out,S,
PK,peak,"a pointed elevation atop a mountain, ridge, or other hypsographic feature",T,
PKS,peaks,"pointed elevations atop a mountain, ridge, or other hypsographic features",T,
PEAT,peat cutting area,an area where peat is harvested,L,
PEN,peninsula,an elongate area of land projecting into a body of water and nearly surrounded by water,T,
BSNP,petroleum basin,an area underlain by an oil-rich structural basin,L,
MFGPH,phosphate works,a facility for producing fertilizer,S,
PIER,pier,a structure built out into navigable water on piles providing berthing for ships and recreation,S,
GRVPN,pine grove,a planting of pine trees,V,
MNPL,placer mine(s),a place where heavy metals are concentrated and running water is used to extract them from unconsolidated sediments,S,
PLN,plain(s),"an extensive area of comparatively level to gently undulating land, lacking surface irregularities, and usually adjacent to a higher area",T,
PLAT,plateau,"an elevated plain with steep slopes on one or more sides, and often with incised streams",T,
PT,point,"a tapering piece of land projecting into a body of water, less prominent than a cape",T,
PTS,points,"tapering pieces of land projecting into a body of water, less prominent than a cape",T,
PLDR,polder,an area reclaimed from the sea by diking and draining,T,
PP,police post,a building in which police are stationed,S,
PCL,political entity,political entity,A,
PND,pond,a small standing waterbody,H,
PNDS,ponds,small standing waterbodies,H,
POOL,pool(s),"a small and comparatively still, deep part of a larger body of water such as a stream or harbor; or a small body of standing water",H,
PPLL,populated locality,an area similar to a locality but with a small group of dwellings or other buildings,P,
PPL,populated place,"a city, town, village, or other agglomeration of buildings where people live and work",P,
PPLS,populated places,"cities, towns, villages, or other agglomerations of buildings where people live and work",P,
PRT,port,"a place provided with terminal and transfer facilities for loading and discharging waterborne cargo or passengers, usually located in a harbor",L,
PTGE,portage,"a place where boats, goods, etc., are carried overland between navigable waters",R,
PO,post office,"a public building in which mail is received, sorted and distributed",S,
PS,power station,a facility for generating electric power,S,
PRN,prison,a facility for confining prisoners,S,
PRMN,promenade,"a place for public walking, usually along a beach front",R,
PROM,promontory(-ies),a bluff or prominent hill overlooking or projecting into a lowland,T,
PYR,pyramid,an ancient massive structure of square ground plan with four triangular faces meeting at a point and used for enclosing tombs,S,
